"UTIL_DEVICE_ID","NIC_MAC_ID","UIQ_DEVICE_STATE","IP_ADDRESS","LATITUDE_DEG","LONGITUDE_DEG","INSERT_TS","'STREETLIGHT'","UTIL_PREMISE_ID","ADDRESS1","INSTANT_POWER","INSTANT_VOLTAGE","ENERGY_DELIVERED","CURRENT_MAGNITUDE"
"0000000012159315",00135005005652EF,"Discovered","fdc5:31e4:14e:2d:213:5005:56:52ef",-37.7945988516,144.9309842511,19/JUL/18 02:34:51.038948000 AM,"Street Light","A100628","458 MACAULAY ROAD",,,,
"0000000012159305",0013500500564728,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4728",-37.7945286713,144.9313809686,19/JUL/18 02:34:51.041680000 AM,"Street Light","A026912","456 MACAULAY ROAD",,,,
"0000000012159431",0013500500561B8D,"Discovered","fdc5:31e4:14e:2d:213:5005:56:1b8d",-37.7947008916,144.9312017527,19/JUL/18 02:34:51.043938000 AM,"Street Light","A026929","457 MACAULAY ROAD",,,,
"0000000012159520",0013500500563485,"Discovered","fdc5:31e4:14e:2d:213:5005:56:3485",-37.7949810993,144.9312995507,19/JUL/18 02:34:51.045611000 AM,"Street Light","A026930","457 MACAULAY ROAD",,,,
"0000000012159333",0013500500564724,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4724",-37.7951058278,144.9354286726,19/JUL/18 02:34:51.049218000 AM,"Street Light","A026953","331 MACAULAY ROAD",,,,
"0000000012159451",001350050056525E,"Discovered","fdc5:31e4:14e:2d:213:5005:56:525e",-37.7948657257,144.9349150842,19/JUL/18 02:34:51.050796000 AM,"Street Light","A137220","347 MACAULAY ROAD",,,,
"0000000012159453",001350050056472D,"Discovered","fdc5:31e4:14e:2d:213:5005:56:472d",-37.7948657257,144.9349150842,19/JUL/18 02:34:51.052797000 AM,"Street Light","A137220","347 MACAULAY ROAD",,,,
"0000000012159455",0013500500564759,"Discovered","fdc5:31e4:14e:2d:213:5005:56:4759",-37.7948508052,144.9349656157,19/JUL/18 02:34:51.054197000 AM,"Street Light","A026967","347 MACAULAY ROAD",,,,
"0000000012159447",001350050056472A,"Discovered","fdc5:31e4:14e:2d:213:5005:56:472a",-37.7948751838,144.9344539079,19/JUL/18 02:34:51.055847000 AM,"Street Light","A026958","369 MACAULAY ROAD",,,,
"0000000012159314",0013500500565239,"Discovered","fdc5:31e4:14e:2d:213:5005:56:5239",-37.7950302664,144.9346696881,19/JUL/18 02:34:51.059695000 AM,"Street Light","A026956","347 MACAULAY ROAD",,,,
"0000000012159322",00135005005652F3,"Discovered","fdc5:31e4:14e:2d:213:5005:56:52f3",-37.7949612138,144.9340652216,19/JUL/18 02:34:51.061066000 AM,"Street Light","A026915","369 MACAULAY ROAD",,,,
